OV-LWA antenna beams										
2015NOV09 GRASP										
3mx3m ground screen										
30 dia x 5 m thick lossy ground										
										
										
theta[deg]	phi[deg]	freq[MHz]	co[real]	co[imag]	cx[real]	cx[imag]	theta[real]	theta[imag]	phi[real]	phi[imag]
40	45	20	-7.8815E-01	5.6115E-01	1.2828E-01	4.6176E-02	-4.6660E-01	4.2944E-01	6.4802E-01	-3.6414E-01
45	45	20	-7.2685E-01	5.3038E-01	1.2614E-01	3.8047E-02	-4.2476E-01	4.0194E-01	6.0315E-01	-3.4814E-01
50	45	20	-6.5838E-01	4.9812E-01	1.2219E-01	2.6719E-02	-3.7914E-01	3.7111E-01	5.5194E-01	-3.3333E-01
55	45	20	-5.8366E-01	4.6620E-01	1.1798E-01	1.3951E-02	-3.2929E-01	3.3952E-01	4.9613E-01	-3.1979E-01
60	45	20	-5.0441E-01	4.3597E-01	1.1408E-01	1.4423E-03	-2.7600E-01	3.0930E-01	4.3734E-01	-3.0726E-01
65	45	20	-4.2280E-01	4.0801E-01	1.1023E-01	-9.4420E-03	-2.2102E-01	2.8183E-01	3.7691E-01	-2.9518E-01
70	45	20	-3.4116E-01	3.8222E-01	1.0571E-01	-1.7789E-02	-1.6649E-01	2.5769E-01	3.1598E-01	-2.8285E-01
75	45	20	-2.6159E-01	3.5793E-01	9.9717E-02	-2.3104E-02	-1.1446E-01	2.3676E-01	2.5549E-01	-2.6944E-01
80	45	20	-1.8586E-01	3.3419E-01	9.1682E-02	-2.5204E-02	-6.6596E-02	2.1849E-01	1.9625E-01	-2.5413E-01
85	45	20	-1.1531E-01	3.0993E-01	8.1417E-02	-2.4095E-02	-2.3964E-02	2.0212E-01	1.3911E-01	-2.3619E-01
90	45	20	-5.0947E-02	2.8419E-01	6.9144E-02	-1.9899E-02	1.2867E-02	1.8688E-01	8.4917E-02	-2.1503E-01
0	50	20	-1.0425E+00	6.4191E-01	-6.4996E-06	5.2622E-06	-6.7009E-01	4.1262E-01	7.9857E-01	-4.9173E-01
5	50	20	-1.0384E+00	6.4169E-01	6.6720E-03	2.5150E-03	-6.6237E-01	4.1440E-01	7.9977E-01	-4.8994E-01
10	50	20	-1.0265E+00	6.4058E-01	2.4984E-02	9.5517E-03	-6.4071E-01	4.1907E-01	8.0244E-01	-4.8457E-01
15	50	20	-1.0074E+00	6.3745E-01	5.0394E-02	1.9707E-02	-6.0895E-01	4.2484E-01	8.0412E-01	-4.7564E-01
20	50	20	-9.8164E-01	6.3083E-01	7.7132E-02	3.0903E-02	-5.7190E-01	4.2917E-01	8.0156E-01	-4.6338E-01
25	50	20	-9.4948E-01	6.1944E-01	1.0005E-01	4.0798E-02	-5.3367E-01	4.2942E-01	7.9166E-01	-4.4829E-01
30	50	20	-9.1076E-01	6.0256E-01	1.1601E-01	4.7292E-02	-4.9656E-01	4.2355E-01	7.7225E-01	-4.3119E-01
35	50	20	-8.6489E-01	5.8036E-01	1.2430E-01	4.8999E-02	-4.6072E-01	4.1059E-01	7.4245E-01	-4.1309E-01
40	50	20	-8.1130E-01	5.5384E-01	1.2625E-01	4.5538E-02	-4.2478E-01	3.9089E-01	7.0264E-01	-3.9500E-01
45	50	20	-7.4974E-01	5.2458E-01	1.2415E-01	3.7538E-02	-3.8682E-01	3.6595E-01	6.5413E-01	-3.7772E-01
50	50	20	-6.8066E-01	4.9437E-01	1.2028E-01	2.6387E-02	-3.4538E-01	3.3799E-01	5.9873E-01	-3.6175E-01
55	50	20	-6.0523E-01	4.6475E-01	1.1617E-01	1.3816E-02	-3.0005E-01	3.0932E-01	5.3831E-01	-3.4714E-01
60	50	20	-5.2527E-01	4.3675E-01	1.1238E-01	1.5040E-03	-2.5155E-01	2.8189E-01	4.7461E-01	-3.3360E-01
65	50	20	-4.4291E-01	4.1073E-01	1.0864E-01	-9.2049E-03	-2.0147E-01	2.5696E-01	4.0912E-01	-3.2056E-01
70	50	20	-3.6035E-01	3.8643E-01	1.0423E-01	-1.7411E-02	-1.5178E-01	2.3505E-01	3.4304E-01	-3.0721E-01
75	50	20	-2.7958E-01	3.6309E-01	9.8352E-02	-2.2629E-02	-1.0437E-01	2.1605E-01	2.7739E-01	-2.9269E-01
80	50	20	-2.0227E-01	3.3971E-01	9.0450E-02	-2.4679E-02	-6.0727E-02	1.9946E-01	2.1309E-01	-2.7610E-01
85	50	20	-1.2974E-01	3.1523E-01	8.0338E-02	-2.3572E-02	-2.1851E-02	1.8457E-01	1.5103E-01	-2.5663E-01
90	50	20	-6.3053E-02	2.8870E-01	6.8236E-02	-1.9428E-02	1.1742E-02	1.7069E-01	9.2163E-02	-2.3365E-01
0	55	20	-1.0425E+00	6.4191E-01	-6.4996E-06	5.2622E-06	-5.9794E-01	3.6819E-01	8.5393E-01	-5.2582E-01
5	55	20	-1.0396E+00	6.4128E-01	6.3658E-03	2.4002E-03	-5.9106E-01	3.6979E-01	8.5522E-01	-5.2393E-01
10	55	20	-1.0309E+00	6.3901E-01	2.3838E-02	9.1154E-03	-5.7176E-01	3.7399E-01	8.5811E-01	-5.1822E-01
15	55	20	-1.0162E+00	6.3422E-01	4.8078E-02	1.8809E-02	-5.4346E-01	3.7918E-01	8.5996E-01	-5.0874E-01
20	55	20	-9.9505E-01	6.2579E-01	7.3579E-02	2.9499E-02	-5.1047E-01	3.8310E-01	8.5730E-01	-4.9570E-01
25	55	20	-9.6695E-01	6.1282E-01	9.5431E-02	3.8952E-02	-4.7645E-01	3.8340E-01	8.4682E-01	-4.7965E-01
30	55	20	-9.3111E-01	5.9494E-01	1.1063E-01	4.5161E-02	-4.4344E-01	3.7824E-01	8.2618E-01	-4.6145E-01
35	55	20	-8.8682E-01	5.7256E-01	1.1853E-01	4.6802E-02	-4.1156E-01	3.6675E-01	7.9443E-01	-4.4217E-01
40	55	20	-8.3371E-01	5.4673E-01	1.2038E-01	4.3509E-02	-3.7958E-01	3.4923E-01	7.5198E-01	-4.2290E-01
45	55	20	-7.7191E-01	5.1894E-01	1.1838E-01	3.5882E-02	-3.4577E-01	3.2704E-01	7.0021E-01	-4.0451E-01
50	55	20	-7.0224E-01	4.9071E-01	1.1472E-01	2.5245E-02	-3.0882E-01	3.0214E-01	6.4104E-01	-3.8749E-01
55	55	20	-6.2614E-01	4.6331E-01	1.1084E-01	1.3254E-02	-2.6835E-01	2.7660E-01	5.7648E-01	-3.7192E-01
60	55	20	-5.4550E-01	4.3748E-01	1.0726E-01	1.5120E-03	-2.2502E-01	2.5217E-01	5.0837E-01	-3.5750E-01
65	55	20	-4.6242E-01	4.1335E-01	1.0374E-01	-8.6963E-03	-1.8026E-01	2.2996E-01	4.3830E-01	-3.4358E-01
70	55	20	-3.7899E-01	3.9048E-01	9.9569E-02	-1.6513E-02	-1.3582E-01	2.1044E-01	3.6756E-01	-3.2933E-01
75	55	20	-2.9706E-01	3.6805E-01	9.3988E-02	-2.1476E-02	-9.3398E-02	1.9351E-01	2.9725E-01	-3.1381E-01
80	55	20	-2.1823E-01	3.4501E-01	8.6459E-02	-2.3416E-02	-5.4346E-02	1.7871E-01	2.2835E-01	-2.9605E-01
85	55	20	-1.4378E-01	3.2031E-01	7.6807E-02	-2.2345E-02	-1.9551E-02	1.6542E-01	1.6183E-01	-2.7520E-01
90	55	20	-7.4834E-02	2.9302E-01	6.5244E-02	-1.8379E-02	1.0522E-02	1.5301E-01	9.8722E-02	-2.5057E-01
0	60	20	-1.0425E+00	6.4191E-01	-6.4996E-06	5.2622E-06	-5.2124E-01	3.2096E-01	9.0280E-01	-5.5591E-01
5	60	20	-1.0407E+00	6.4089E-01	5.8660E-03	2.2125E-03	-5.1525E-01	3.2236E-01	9.0417E-01	-5.5392E-01
10	60	20	-1.0349E+00	6.3754E-01	2.1967E-02	8.4019E-03	-4.9844E-01	3.2605E-01	9.0726E-01	-5.4793E-01
15	60	20	-1.0244E+00	6.3119E-01	4.4302E-02	1.7338E-02	-4.7381E-01	3.3061E-01	9.0927E-01	-5.3796E-01
20	60	20	-1.0076E+00	6.2106E-01	6.7794E-02	2.7196E-02	-4.4511E-01	3.3408E-01	9.0654E-01	-5.2425E-01
25	60	20	-9.8333E-01	6.0659E-01	8.7918E-02	3.5917E-02	-4.1553E-01	3.3440E-01	8.9555E-01	-5.0737E-01
30	60	20	-9.5019E-01	5.8778E-01	1.0191E-01	4.1651E-02	-3.8684E-01	3.2996E-01	8.7384E-01	-4.8821E-01
35	60	20	-9.0737E-01	5.6523E-01	1.0918E-01	4.3174E-02	-3.5914E-01	3.2000E-01	8.4040E-01	-4.6791E-01
40	60	20	-8.5470E-01	5.4005E-01	1.1087E-01	4.0146E-02	-3.3133E-01	3.0479E-01	7.9563E-01	-4.4762E-01
45	60	20	-7.9268E-01	5.1362E-01	1.0904E-01	3.3122E-02	-3.0191E-01	2.8550E-01	7.4100E-01	-4.2825E-01
50	60	20	-7.2247E-01	4.8726E-01	1.0568E-01	2.3323E-02	-2.6971E-01	2.6383E-01	6.7852E-01	-4.1032E-01
55	60	20	-6.4575E-01	4.6195E-01	1.0214E-01	1.2275E-02	-2.3442E-01	2.4160E-01	6.1031E-01	-3.9392E-01
60	60	20	-5.6449E-01	4.3815E-01	9.8887E-02	1.4592E-03	-1.9661E-01	2.2034E-01	5.3831E-01	-3.7872E-01
65	60	20	-4.8076E-01	4.1577E-01	9.5680E-02	-7.9399E-03	-1.5752E-01	2.0101E-01	4.6419E-01	-3.6404E-01
70	60	20	-3.9651E-01	3.9425E-01	9.1868E-02	-1.5132E-02	-1.1870E-01	1.8402E-01	3.8932E-01	-3.4900E-01
75	60	20	-3.1351E-01	3.7267E-01	8.6747E-02	-1.9691E-02	-8.1630E-02	1.6928E-01	3.1488E-01	-3.3259E-01
80	60	20	-2.3324E-01	3.4995E-01	7.9817E-02	-2.1464E-02	-4.7497E-02	1.5639E-01	2.4190E-01	-3.1380E-01
85	60	20	-1.5699E-01	3.2504E-01	7.0918E-02	-2.0465E-02	-1.7080E-02	1.4479E-01	1.7142E-01	-2.9172E-01
90	60	20	-8.5924E-02	2.9702E-01	6.0249E-02	-1.6801E-02	9.2147E-03	1.3396E-01	1.0454E-01	-2.6562E-01
0	65	20	-1.0425E+00	6.4191E-01	-6.4996E-06	5.2622E-06	-4.4057E-01	2.7129E-01	9.4479E-01	-5.8177E-01
5	65	20	-1.0416E+00	6.4054E-01	5.1878E-03	1.9578E-03	-4.3551E-01	2.7248E-01	9.4624E-01	-5.7970E-01
10	65	20	-1.0386E+00	6.3621E-01	1.9429E-02	7.4330E-03	-4.2132E-01	2.7561E-01	9.4950E-01	-5.7346E-01
15	65	20	-1.0318E+00	6.2846E-01	3.9182E-02	1.5339E-02	-4.0053E-01	2.7950E-01	9.5166E-01	-5.6309E-01
20	65	20	-1.0190E+00	6.1678E-01	5.9953E-02	2.4064E-02	-3.7631E-01	2.8247E-01	9.4887E-01	-5.4882E-01
25	65	20	-9.9813E-01	6.0096E-01	7.7742E-02	3.1785E-02	-3.5137E-01	2.8279E-01	9.3747E-01	-5.3122E-01
30	65	20	-9.6741E-01	5.8130E-01	9.0105E-02	3.6865E-02	-3.2718E-01	2.7908E-01	9.1485E-01	-5.1126E-01
35	65	20	-9.2592E-01	5.5859E-01	9.6521E-02	3.8220E-02	-3.0383E-01	2.7071E-01	8.7996E-01	-4.9010E-01
40	65	20	-8.7365E-01	5.3399E-01	9.8017E-02	3.5549E-02	-2.8039E-01	2.5789E-01	8.3322E-01	-4.6894E-01
45	65	20	-8.1143E-01	5.0880E-01	9.6403E-02	2.9339E-02	-2.5556E-01	2.4162E-01	7.7615E-01	-4.4873E-01
50	65	20	-7.4074E-01	4.8413E-01	9.3449E-02	2.0673E-02	-2.2836E-01	2.2334E-01	7.1083E-01	-4.3003E-01
55	65	20	-6.6347E-01	4.6070E-01	9.0342E-02	1.0904E-02	-1.9852E-01	2.0458E-01	6.3949E-01	-4.1293E-01
60	65	20	-5.8166E-01	4.3873E-01	8.7499E-02	1.3416E-03	-1.6652E-01	1.8663E-01	5.6414E-01	-3.9706E-01
65	65	20	-4.9734E-01	4.1795E-01	8.4694E-02	-6.9649E-03	-1.3343E-01	1.7032E-01	4.8654E-01	-3.8173E-01
70	65	20	-4.1238E-01	3.9764E-01	8.1350E-02	-1.3316E-02	-1.0055E-01	1.5598E-01	4.0812E-01	-3.6601E-01
75	65	20	-3.2841E-01	3.7682E-01	7.6838E-02	-1.7338E-02	-6.9152E-02	1.4354E-01	3.3011E-01	-3.4884E-01
80	65	20	-2.4685E-01	3.5438E-01	7.0716E-02	-1.8895E-02	-4.0233E-02	1.3264E-01	2.5361E-01	-3.2917E-01
85	65	20	-1.6897E-01	3.2927E-01	6.2842E-02	-1.8001E-02	-1.4458E-02	1.2284E-01	1.7970E-01	-3.0603E-01
90	65	20	-9.5980E-02	3.0059E-01	5.3393E-02	-1.4753E-02	7.8278E-03	1.1367E-01	1.0955E-01	-2.7867E-01
0	70	20	-1.0425E+00	6.4191E-01	-6.4996E-06	5.2622E-06	-3.5655E-01	2.1955E-01	9.7959E-01	-6.0320E-01
5	70	20	-1.0425E+00	6.4024E-01	4.3519E-03	1.6437E-03	-3.5246E-01	2.2052E-01	9.8110E-01	-6.0106E-01
10	70	20	-1.0418E+00	6.3507E-01	1.6301E-02	6.2381E-03	-3.4099E-01	2.2307E-01	9.8451E-01	-5.9463E-01
15	70	20	-1.0382E+00	6.2609E-01	3.2872E-02	1.2873E-02	-3.2418E-01	2.2623E-01	9.8680E-01	-5.8393E-01
20	70	20	-1.0288E+00	6.1308E-01	5.0296E-02	2.0197E-02	-3.0461E-01	2.2866E-01	9.8397E-01	-5.6920E-01
25	70	20	-1.0109E+00	5.9610E-01	6.5213E-02	2.6681E-02	-2.8446E-01	2.2895E-01	9.7223E-01	-5.5102E-01
30	70	20	-9.8227E-01	5.7570E-01	7.5578E-02	3.0949E-02	-2.6493E-01	2.2598E-01	9.4888E-01	-5.3039E-01
35	70	20	-9.4192E-01	5.5285E-01	8.0953E-02	3.2091E-02	-2.4609E-01	2.1924E-01	9.1280E-01	-5.0853E-01
40	70	20	-8.9000E-01	5.2876E-01	8.2206E-02	2.9853E-02	-2.2715E-01	2.0890E-01	8.6444E-01	-4.8666E-01
45	70	20	-8.2760E-01	5.0463E-01	8.0856E-02	2.4646E-02	-2.0708E-01	1.9575E-01	8.0535E-01	-4.6577E-01
50	70	20	-7.5650E-01	4.8142E-01	7.8391E-02	1.7376E-02	-1.8507E-01	1.8098E-01	7.3769E-01	-4.4644E-01
55	70	20	-6.7875E-01	4.5961E-01	7.5805E-02	9.1803E-03	-1.6091E-01	1.6582E-01	6.6375E-01	-4.2875E-01
60	70	20	-5.9649E-01	4.3923E-01	7.3443E-02	1.1601E-03	-1.3500E-01	1.5132E-01	5.8563E-01	-4.1234E-01
65	70	20	-5.1168E-01	4.1982E-01	7.1114E-02	-5.8044E-03	-1.0818E-01	1.3813E-01	5.0514E-01	-3.9648E-01
70	70	20	-4.2610E-01	4.0055E-01	6.8327E-02	-1.1127E-02	-8.1528E-02	1.2654E-01	4.2377E-01	-3.8020E-01
75	70	20	-3.4130E-01	3.8038E-01	6.4555E-02	-1.4493E-02	-5.6068E-02	1.1648E-01	3.4279E-01	-3.6240E-01
80	70	20	-2.5863E-01	3.5819E-01	5.9424E-02	-1.5791E-02	-3.2616E-02	1.0767E-01	2.6336E-01	-3.4199E-01
85	70	20	-1.7935E-01	3.3291E-01	5.2815E-02	-1.5034E-02	-1.1710E-02	9.9734E-02	1.8659E-01	-3.1797E-01
90	70	20	-1.0469E-01	3.0366E-01	4.4879E-02	-1.2304E-02	6.3673E-03	9.2296E-02	1.1372E-01	-2.8956E-01
0	75	20	-1.0425E+00	6.4191E-01	-6.4996E-06	5.2622E-06	-2.6982E-01	1.6614E-01	1.0069E+00	-6.2004E-01
5	75	20	-1.0432E+00	6.3999E-01	3.3836E-03	1.2797E-03	-2.6672E-01	1.6688E-01	1.0085E+00	-6.1785E-01
10	75	20	-1.0443E+00	6.3413E-01	1.2678E-02	4.8534E-03	-2.5805E-01	1.6881E-01	1.0120E+00	-6.1127E-01
15	75	20	-1.0434E+00	6.2417E-01	2.5566E-02	1.0015E-02	-2.4534E-01	1.7122E-01	1.0144E+00	-6.0031E-01
20	75	20	-1.0368E+00	6.1008E-01	3.9116E-02	1.5713E-02	-2.3055E-01	1.7308E-01	1.0116E+00	-5.8522E-01
25	75	20	-1.0212E+00	5.9215E-01	5.0714E-02	2.0758E-02	-2.1533E-01	1.7331E-01	9.9957E-01	-5.6660E-01
30	75	20	-9.9431E-01	5.7115E-01	5.8770E-02	2.4081E-02	-2.0058E-01	1.7109E-01	9.7564E-01	-5.4546E-01
35	75	20	-9.5489E-01	5.4818E-01	6.2946E-02	2.4972E-02	-1.8634E-01	1.6600E-01	9.3864E-01	-5.2304E-01
40	75	20	-9.0324E-01	5.2450E-01	6.3919E-02	2.3234E-02	-1.7203E-01	1.5819E-01	8.8901E-01	-5.0062E-01
45	75	20	-8.4071E-01	5.0125E-01	6.2873E-02	1.9184E-02	-1.5686E-01	1.4826E-01	8.2833E-01	-4.7920E-01
50	75	20	-7.6927E-01	4.7921E-01	6.0964E-02	1.3530E-02	-1.4022E-01	1.3710E-01	7.5884E-01	-4.5938E-01
55	75	20	-6.9115E-01	4.5873E-01	5.8965E-02	7.1567E-03	-1.2193E-01	1.2564E-01	6.8286E-01	-4.4124E-01
60	75	20	-6.0851E-01	4.3963E-01	5.7144E-02	9.2039E-04	-1.0230E-01	1.1467E-01	6.0257E-01	-4.2441E-01
65	75	20	-5.2331E-01	4.2133E-01	5.5348E-02	-4.4934E-03	-8.1981E-02	1.0471E-01	5.1981E-01	-4.0813E-01
70	75	20	-4.3724E-01	4.0291E-01	5.3194E-02	-8.6287E-03	-6.1786E-02	9.5946E-02	4.3611E-01	-3.9141E-01
75	75	20	-3.5177E-01	3.8327E-01	5.0268E-02	-1.1242E-02	-4.2490E-02	8.8339E-02	3.5279E-01	-3.7312E-01
80	75	20	-2.6820E-01	3.6127E-01	4.6280E-02	-1.2247E-02	-2.4713E-02	8.1675E-02	2.7104E-01	-3.5213E-01
85	75	20	-1.8778E-01	3.3585E-01	4.1138E-02	-1.1653E-02	-8.8647E-03	7.5668E-02	1.9203E-01	-3.2742E-01
90	75	20	-1.1177E-01	3.0614E-01	3.4960E-02	-9.5273E-03	4.8405E-03	7.0032E-02	1.1701E-01	-2.9817E-01
0	80	20	-1.0425E+00	6.4191E-01	-6.4996E-06	5.2622E-06	-1.8103E-01	1.1147E-01	1.0266E+00	-6.3216E-01
5	80	20	-1.0437E+00	6.3981E-01	2.3123E-03	8.7706E-04	-1.7896E-01	1.1197E-01	1.0282E+00	-6.2994E-01
10	80	20	-1.0462E+00	6.3345E-01	8.6694E-03	3.3211E-03	-1.7314E-01	1.1327E-01	1.0318E+00	-6.2325E-01
15	80	20	-1.0472E+00	6.2276E-01	1.7485E-02	6.8510E-03	-1.6462E-01	1.1489E-01	1.0343E+00	-6.1211E-01
20	80	20	-1.0426E+00	6.0786E-01	2.6752E-02	1.0748E-02	-1.5471E-01	1.1614E-01	1.0314E+00	-5.9676E-01
25	80	20	-1.0289E+00	5.8924E-01	3.4682E-02	1.4199E-02	-1.4450E-01	1.1630E-01	1.0193E+00	-5.7782E-01
30	80	20	-1.0032E+00	5.6780E-01	4.0190E-02	1.6472E-02	-1.3462E-01	1.1482E-01	9.9492E-01	-5.5631E-01
35	80	20	-9.6443E-01	5.4475E-01	4.3044E-02	1.7082E-02	-1.2508E-01	1.1142E-01	9.5726E-01	-5.3350E-01
40	80	20	-9.1299E-01	5.2137E-01	4.3710E-02	1.5893E-02	-1.1549E-01	1.0619E-01	9.0671E-01	-5.1069E-01
45	80	20	-8.5036E-01	4.9875E-01	4.2996E-02	1.3124E-02	-1.0532E-01	9.9531E-02	8.4491E-01	-4.8889E-01
50	80	20	-7.7868E-01	4.7759E-01	4.1695E-02	9.2564E-03	-9.4154E-02	9.2048E-02	7.7409E-01	-4.6872E-01
55	80	20	-7.0029E-01	4.5807E-01	4.0335E-02	4.8975E-03	-8.1881E-02	8.4367E-02	6.9665E-01	-4.5026E-01
60	80	20	-6.1738E-01	4.3992E-01	3.9097E-02	6.3308E-04	-6.8703E-02	7.7015E-02	6.1479E-01	-4.3313E-01
65	80	20	-5.3189E-01	4.2244E-01	3.7877E-02	-3.0680E-03	-5.5061E-02	7.0335E-02	5.3039E-01	-4.1656E-01
70	80	20	-4.4546E-01	4.0464E-01	3.6409E-02	-5.8940E-03	-4.1497E-02	6.4461E-02	4.4502E-01	-3.9952E-01
75	80	20	-3.5950E-01	3.8540E-01	3.4412E-02	-7.6785E-03	-2.8537E-02	5.9362E-02	3.6001E-01	-3.8088E-01
80	80	20	-2.7527E-01	3.6354E-01	3.1686E-02	-8.3631E-03	-1.6596E-02	5.4893E-02	2.7659E-01	-3.5947E-01
85	80	20	-1.9401E-01	3.3802E-01	2.8168E-02	-7.9549E-03	-5.9495E-03	5.0862E-02	1.9595E-01	-3.3426E-01
90	80	20	-1.1700E-01	3.0796E-01	2.3938E-02	-6.4989E-03	3.2576E-03	4.7077E-02	1.1938E-01	-3.0441E-01
0	85	20	-1.0425E+00	6.4191E-01	-6.4996E-06	5.2622E-06	-9.0863E-02	5.5952E-02	1.0385E+00	-6.3947E-01
5	85	20	-1.0440E+00	6.3970E-01	1.1705E-03	4.4788E-04	-8.9823E-02	5.6200E-02	1.0401E+00	-6.3723E-01
10	85	20	-1.0474E+00	6.3303E-01	4.3979E-03	1.6878E-03	-8.6904E-02	5.6854E-02	1.0438E+00	-6.3047E-01
15	85	20	-1.0495E+00	6.2190E-01	8.8734E-03	3.4782E-03	-8.2632E-02	5.7667E-02	1.0463E+00	-6.1923E-01
20	85	20	-1.0462E+00	6.0651E-01	1.3578E-02	5.4544E-03	-7.7658E-02	5.8294E-02	1.0434E+00	-6.0373E-01
25	85	20	-1.0335E+00	5.8746E-01	1.7604E-02	7.2040E-03	-7.2541E-02	5.8377E-02	1.0311E+00	-5.8460E-01
30	85	20	-1.0086E+00	5.6574E-01	2.0399E-02	8.3557E-03	-6.7584E-02	5.7632E-02	1.0065E+00	-5.6286E-01
35	85	20	-9.7028E-01	5.4264E-01	2.1848E-02	8.6636E-03	-6.2801E-02	5.5925E-02	9.6849E-01	-5.3982E-01
40	85	20	-9.1896E-01	5.1945E-01	2.2186E-02	8.0587E-03	-5.7991E-02	5.3301E-02	9.1740E-01	-5.1677E-01
45	85	20	-8.5627E-01	4.9722E-01	2.1825E-02	6.6520E-03	-5.2886E-02	4.9962E-02	8.5491E-01	-4.9475E-01
50	85	20	-7.8444E-01	4.7659E-01	2.1167E-02	4.6887E-03	-4.7282E-02	4.6208E-02	7.8330E-01	-4.7437E-01
55	85	20	-7.0588E-01	4.5767E-01	2.0478E-02	2.4763E-03	-4.1121E-02	4.2356E-02	7.0498E-01	-4.5572E-01
60	85	20	-6.2281E-01	4.4011E-01	1.9853E-02	3.1241E-04	-3.4504E-02	3.8669E-02	6.2217E-01	-4.3840E-01
65	85	20	-5.3715E-01	4.2313E-01	1.9235E-02	-1.5651E-03	-2.7654E-02	3.5319E-02	5.3678E-01	-4.2165E-01
70	85	20	-4.5050E-01	4.0571E-01	1.8492E-02	-2.9981E-03	-2.0842E-02	3.2373E-02	4.5040E-01	-4.0443E-01
75	85	20	-3.6424E-01	3.8670E-01	1.7478E-02	-3.9024E-03	-1.4334E-02	2.9816E-02	3.6438E-01	-3.8557E-01
80	85	20	-2.7961E-01	3.6494E-01	1.6093E-02	-4.2483E-03	-8.3371E-03	2.7574E-02	2.7995E-01	-3.6392E-01
85	85	20	-1.9783E-01	3.3935E-01	1.4306E-02	-4.0397E-03	-2.9907E-03	2.5552E-02	1.9832E-01	-3.3841E-01
90	85	20	-1.2021E-01	3.0908E-01	1.2156E-02	-3.2994E-03	1.6329E-03	2.3652E-02	1.2081E-01	-3.0819E-01
0	90	20	-1.0425E+00	6.4191E-01	-6.4996E-06	5.2622E-06	-6.4996E-06	5.2622E-06	1.0425E+00	-6.4191E-01
5	90	20	-1.0441E+00	6.3967E-01	-6.9338E-06	5.2391E-06	-6.9338E-06	5.2391E-06	1.0441E+00	-6.3967E-01
10	90	20	-1.0478E+00	6.3289E-01	-7.1812E-06	3.3473E-06	-7.1812E-06	3.3473E-06	1.0478E+00	-6.3289E-01
15	90	20	-1.0503E+00	6.2160E-01	-7.2625E-06	-5.9334E-07	-7.2625E-06	-5.9334E-07	1.0503E+00	-6.2160E-01
20	90	20	-1.0474E+00	6.0605E-01	-7.1288E-06	-6.1540E-06	-7.1288E-06	-6.1540E-06	1.0474E+00	-6.0605E-01
25	90	20	-1.0351E+00	5.8686E-01	-6.7007E-06	-1.2465E-05	-6.7007E-06	-1.2465E-05	1.0351E+00	-5.8686E-01
30	90	20	-1.0104E+00	5.6505E-01	-5.9297E-06	-1.8512E-05	-5.9297E-06	-1.8512E-05	1.0104E+00	-5.6505E-01
35	90	20	-9.7225E-01	5.4193E-01	-4.8487E-06	-2.3436E-05	-4.8487E-06	-2.3436E-05	9.7225E-01	-5.4193E-01
40	90	20	-9.2097E-01	5.1880E-01	-3.5895E-06	-2.6720E-05	-3.5895E-06	-2.6720E-05	9.2097E-01	-5.1880E-01
45	90	20	-8.5826E-01	4.9671E-01	-2.3609E-06	-2.8240E-05	-2.3609E-06	-2.8240E-05	8.5826E-01	-4.9671E-01
50	90	20	-7.8638E-01	4.7626E-01	-1.4032E-06	-2.8189E-05	-1.4032E-06	-2.8189E-05	7.8638E-01	-4.7626E-01
55	90	20	-7.0776E-01	4.5754E-01	-9.3733E-07	-2.6948E-05	-9.3733E-07	-2.6948E-05	7.0776E-01	-4.5754E-01
60	90	20	-6.2464E-01	4.4017E-01	-1.1232E-06	-2.4952E-05	-1.1232E-06	-2.4952E-05	6.2464E-01	-4.4017E-01
65	90	20	-5.3892E-01	4.2336E-01	-2.0361E-06	-2.2594E-05	-2.0361E-06	-2.2594E-05	5.3892E-01	-4.2336E-01
70	90	20	-4.5220E-01	4.0607E-01	-3.6602E-06	-2.0175E-05	-3.6602E-06	-2.0175E-05	4.5220E-01	-4.0607E-01
75	90	20	-3.6583E-01	3.8715E-01	-5.8952E-06	-1.7886E-05	-5.8952E-06	-1.7886E-05	3.6583E-01	-3.8715E-01
80	90	20	-2.8107E-01	3.6541E-01	-8.5708E-06	-1.5815E-05	-8.5708E-06	-1.5815E-05	2.8107E-01	-3.6541E-01
85	90	20	-1.9912E-01	3.3980E-01	-1.1464E-05	-1.3968E-05	-1.1464E-05	-1.3968E-05	1.9912E-01	-3.3980E-01
90	90	20	-1.2129E-01	3.0947E-01	-1.4317E-05	-1.2293E-05	-1.4317E-05	-1.2293E-05	1.2129E-01	-3.0947E-01
0	0	30	-1.5711E+00	2.1281E-01	1.3250E-05	-2.8879E-05	-1.5711E+00	2.1281E-01	1.3250E-05	-2.8879E-05
5	0	30	-1.5629E+00	2.0270E-01	1.5154E-05	-3.0348E-05	-1.5629E+00	2.0270E-01	1.5154E-05	-3.0348E-05
10	0	30	-1.5376E+00	1.7815E-01	1.8497E-05	-2.7693E-05	-1.5376E+00	1.7815E-01	1.8497E-05	-2.7693E-05
15	0	30	-1.4940E+00	1.5262E-01	2.1373E-05	-1.8563E-05	-1.4940E+00	1.5262E-01	2.1373E-05	-1.8563E-05
20	0	30	-1.4318E+00	1.3888E-01	2.0555E-05	-3.8120E-06	-1.4318E+00	1.3888E-01	2.0555E-05	-3.8120E-06
25	0	30	-1.3537E+00	1.4189E-01	1.3588E-05	1.2356E-05	-1.3537E+00	1.4189E-01	1.3588E-05	1.2356E-05
