OV-LWA antenna beams										
2015NOV09 GRASP										
3mx3m ground screen										
30 dia x 5 m thick lossy ground										
										
										
theta[deg]	phi[deg]	freq[MHz]	co[real]	co[imag]	cx[real]	cx[imag]	theta[real]	theta[imag]	phi[real]	phi[imag]
65	35	20	-3.8328E-01	4.0256E-01	1.0344E-01	-9.0493E-03	-2.5464E-01	3.2457E-01	3.0457E-01	-2.3831E-01
70	35	20	-3.0348E-01	3.7382E-01	9.9113E-02	-1.6918E-02	-1.9175E-01	2.9651E-01	2.5526E-01	-2.2827E-01
75	35	20	-2.2632E-01	3.4766E-01	9.3428E-02	-2.1942E-02	-1.3180E-01	2.7220E-01	2.0634E-01	-2.1738E-01
80	35	20	-1.5371E-01	3.2318E-01	8.5854E-02	-2.3945E-02	-7.6667E-02	2.5100E-01	1.5849E-01	-2.0498E-01
85	35	20	-8.7040E-02	2.9934E-01	7.6213E-02	-2.2931E-02	-2.7584E-02	2.3205E-01	1.1235E-01	-1.9048E-01
90	35	20	-2.7240E-02	2.7514E-01	6.4707E-02	-1.9010E-02	1.4801E-02	2.1448E-01	6.8629E-02	-1.7339E-01
0	40	20	-1.0425E+00	6.4191E-01	-6.4996E-06	5.2622E-06	-7.9858E-01	4.9174E-01	6.7008E-01	-4.1261E-01
5	40	20	-1.0360E+00	6.4254E-01	6.6726E-03	2.5145E-03	-7.8936E-01	4.9383E-01	6.7106E-01	-4.1109E-01
10	40	20	-1.0176E+00	6.4380E-01	2.4989E-02	9.5493E-03	-7.6348E-01	4.9932E-01	6.7325E-01	-4.0651E-01
15	40	20	-9.8937E-01	6.4409E-01	5.0410E-02	1.9697E-02	-7.2550E-01	5.0607E-01	6.7457E-01	-3.9893E-01
20	40	20	-9.5394E-01	6.4122E-01	7.7173E-02	3.0877E-02	-6.8115E-01	5.1105E-01	6.7230E-01	-3.8852E-01
25	40	20	-9.1341E-01	6.3308E-01	1.0013E-01	4.0748E-02	-6.3535E-01	5.1116E-01	6.6383E-01	-3.7572E-01
30	40	20	-8.6871E-01	6.1824E-01	1.1613E-01	4.7213E-02	-5.9083E-01	5.0395E-01	6.4736E-01	-3.6123E-01
35	40	20	-8.1957E-01	5.9641E-01	1.2446E-01	4.8893E-02	-5.4783E-01	4.8830E-01	6.2216E-01	-3.4591E-01
40	40	20	-7.6498E-01	5.6844E-01	1.2642E-01	4.5410E-02	-5.0474E-01	4.6464E-01	5.8856E-01	-3.3060E-01
45	40	20	-7.0392E-01	5.3616E-01	1.2431E-01	3.7398E-02	-4.5933E-01	4.3476E-01	5.4770E-01	-3.1599E-01
50	40	20	-6.3607E-01	5.0184E-01	1.2039E-01	2.6239E-02	-4.0987E-01	4.0130E-01	5.0108E-01	-3.0248E-01
55	40	20	-5.6208E-01	4.6764E-01	1.1620E-01	1.3660E-02	-3.5589E-01	3.6701E-01	4.5032E-01	-2.9013E-01
60	40	20	-4.8356E-01	4.3516E-01	1.1232E-01	1.3363E-03	-2.9823E-01	3.3421E-01	3.9686E-01	-2.7869E-01
65	40	20	-4.0273E-01	4.0526E-01	1.0848E-01	-9.3922E-03	-2.3878E-01	3.0441E-01	3.4197E-01	-2.6769E-01
